polymer nbases
F23Fcsw_26585 3 49
F23Fcsw_87336 3 49
F23Fcsw_124319 3 49
F23Fcsw_151359 3 49
F23Fcsw_169006 3 49
F23Fcsw_237138 3 49
F23Fcsw_248199 3 49
F23Fcsw_254644 3 49
F23Fcsw_259402 3 49
F23Fcsw_262678 3 49
F23Fcsw_263033 3 49
F23Fcsw_263984 3 49
F24Fcsw_21498 3 49
F24Fcsw_33276 3 49
F24Fcsw_70067 3 49
F24Fcsw_77730 3 49
F24Fcsw_97678 3 49
F24Fcsw_123848 3 49
F24Fcsw_146148 3 49
F24Fcsw_192161 3 49
F24Fcsw_197913 3 49
F24Fcsw_210461 3 49
F24Fcsw_216949 3 49
F24Fcsw_227592 3 49
F24Fcsw_239415 3 49
F24Fcsw_242079 3 49
F24Fcsw_251146 3 49
F24Fcsw_254755 3 49
F24Fcsw_260303 3 49
F24Fcsw_261169 3 49
F24Fcsw_265904 3 49
F24Fcsw_267966 3 49
F24Fcsw_271142 3 49
F31Fcsw_147667 3 49
F31Fcsw_183508 3 49
F31Fcsw_222975 3 49
F31Fcsw_243714 3 49
F31Fcsw_277422 3 49
F31Fcsw_287083 3 49
F31Fcsw_287501 3 49
F31Fcsw_299154 3 49
F31Fcsw_324260 3 49
F31Fcsw_338860 3 49
F31Fcsw_356480 3 49
F31Fcsw_358485 3 49
F31Fcsw_361625 3 49
F31Fcsw_363734 3 49
F31Fcsw_371166 3 49
F31Fcsw_373319 3 49
F31Fcsw_374000 3 49
F31Fcsw_374344 3 49
F32Fcsw_139070 3 49
F32Fcsw_183257 3 49
F32Fcsw_200451 3 49
F32Fcsw_203233 3 49
F32Fcsw_209102 3 49
F32Fcsw_234781 3 49
F32Fcsw_242093 3 49
F32Fcsw_244422 3 49
F32Fcsw_256331 3 49
F32Fcsw_280773 3 49
F32Fcsw_342410 3 49
F32Fcsw_343092 3 49
F32Fcsw_360642 3 49
F32Fcsw_371964 3 49
F32Fcsw_373995 3 49
F32Fcsw_375574 3 49
F33Fcsw_36290 3 49
F33Fcsw_93515 3 49
F33Fcsw_104106 3 49
F33Fcsw_108262 3 49
F33Fcsw_236162 3 49
F33Fcsw_249977 3 49
F33Fcsw_269800 3 49
F33Fcsw_270779 3 49
F34Fcsw_7431 3 49
F34Fcsw_62076 3 49
F34Fcsw_76423 3 49
F34Fcsw_76841 3 49
F34Fcsw_124079 3 49
F34Fcsw_124624 3 49
F34Fcsw_134211 3 49
F34Fcsw_135072 3 49
F34Fcsw_167425 3 49
F34Fcsw_173982 3 49
F34Fcsw_204401 3 49
F34Fcsw_215005 3 49
F34Fcsw_218962 3 49
F34Fcsw_223198 3 49
F34Fcsw_250771 3 49
F34Fcsw_250856 3 49
F34Fcsw_254846 3 49
F34Fcsw_262298 3 49
F34Fcsw_266346 3 49
F34Fcsw_268484 3 49
F34Fcsw_272674 3 49
M11Fcsw_37366 3 49
M11Fcsw_106589 3 49
M11Fcsw_118002 3 49
M11Fcsw_124277 3 49
M11Fcsw_471981 3 49
M11Fcsw_507870 3 49
M11Fcsw_509278 3 49
M12Fcsw_41537 3 49
M12Fcsw_112080 3 49
M12Fcsw_471948 3 49
M12Fcsw_495668 3 49
M12Fcsw_499208 3 49
M13Fcsw_16793 3 49
M13Fcsw_23079 3 49
M13Fcsw_82520 3 49
M13Fcsw_95802 3 49
M13Fcsw_116144 3 49
M13Fcsw_118873 3 49
M13Fcsw_166642 3 49
M13Fcsw_180151 3 49
M13Fcsw_187854 3 49
M13Fcsw_208394 3 49
M13Fcsw_213556 3 49
M13Fcsw_213937 3 49
M13Fcsw_216991 3 49
M13Fcsw_222053 3 49
M13Fcsw_229147 3 49
M13Fcsw_229887 3 49
M13Fcsw_246102 3 49
M13Fcsw_253796 3 49
M13Fcsw_256602 3 49
M13Fcsw_257923 3 49
M13Fcsw_259286 3 49
M13Fcsw_263970 3 49
M13Fcsw_264220 3 49
M13Fcsw_264265 3 49
M14Fcsw_17783 3 49
M14Fcsw_57670 3 49
M14Fcsw_60758 3 49
M14Fcsw_70440 3 49
M14Fcsw_77942 3 49
M14Fcsw_80538 3 49
M14Fcsw_80829 3 49
M14Fcsw_104963 3 49
M14Fcsw_111187 3 49
M14Fcsw_115667 3 49
M14Fcsw_117497 3 49
M14Fcsw_120552 3 49
M14Fcsw_122721 3 49
M14Fcsw_150391 3 49
M14Fcsw_153608 3 49
M14Fcsw_161871 3 49
M14Fcsw_179595 3 49
M14Fcsw_188096 3 49
M14Fcsw_213469 3 49
M14Fcsw_216396 3 49
M14Fcsw_257667 3 49
M14Fcsw_263875 3 49
M14Fcsw_267922 3 49
M14Fcsw_270221 3 49
M14Fcsw_271341 3 49
M14Fcsw_273255 3 49
M14Fcsw_273623 3 49
M21Fcsw_126781 3 49
M21Fcsw_135602 3 49
M21Fcsw_142151 3 49
M21Fcsw_143561 3 49
M21Fcsw_153879 3 49
M21Fcsw_160172 3 49
M21Fcsw_171762 3 49
M21Fcsw_175027 3 49
M21Fcsw_198854 3 49
M21Fcsw_212107 3 49
M21Fcsw_218804 3 49
M21Fcsw_223124 3 49
M21Fcsw_230474 3 49
M21Fcsw_232099 3 49
M21Fcsw_232612 3 49
M21Fcsw_240244 3 49
M21Fcsw_271587 3 49
M21Fcsw_304303 3 49
M21Fcsw_321756 3 49
M21Fcsw_350909 3 49
M21Fcsw_351157 3 49
M21Fcsw_370010 3 49
M21Fcsw_370928 3 49
M21Fcsw_372842 3 49
M21Fcsw_374581 3 49
M21Fcsw_374757 3 49
M21Fcsw_375399 3 49
M21Fcsw_375409 3 49
M22Fcsw_166321 3 49
M22Fcsw_206201 3 49
M22Fcsw_211808 3 49
M22Fcsw_219927 3 49
M22Fcsw_222038 3 49
M22Fcsw_225440 3 49
M22Fcsw_234064 3 49
M22Fcsw_239018 3 49
M22Fcsw_239779 3 49
M22Fcsw_243135 3 49
M22Fcsw_243160 3 49
M22Fcsw_243765 3 49
M22Fcsw_283830 3 49
M22Fcsw_301561 3 49
M22Fcsw_308500 3 49
M22Fcsw_326177 3 49
M22Fcsw_367077 3 49
M22Fcsw_373787 3 49
M22Fcsw_374635 3 49
M23Fcsw_22550 3 49
M23Fcsw_93896 3 49
M23Fcsw_114036 3 49
M23Fcsw_118403 3 49
M23Fcsw_122708 3 49
M23Fcsw_123581 3 49
M23Fcsw_123692 3 49
M23Fcsw_124384 3 49
M23Fcsw_124870 3 49
M23Fcsw_139276 3 49
M23Fcsw_154079 3 49
M23Fcsw_196661 3 49
M23Fcsw_232555 3 49
M23Fcsw_240986 3 49
M23Fcsw_249768 3 49
M23Fcsw_260121 3 49
M23Fcsw_264224 3 49
M23Fcsw_265958 3 49
M23Fcsw_267117 3 49
M23Fcsw_267382 3 49
M23Fcsw_272506 3 49
M23Fcsw_273023 3 49
M23Fcsw_274088 3 49
M24Fcsw_4818 3 49
M24Fcsw_61502 3 49
M24Fcsw_67832 3 49
M24Fcsw_95897 3 49
M24Fcsw_99703 3 49
M24Fcsw_106749 3 49
M24Fcsw_115113 3 49
M24Fcsw_123661 3 49
M24Fcsw_170549 3 49
M24Fcsw_195706 3 49
M24Fcsw_220881 3 49
M24Fcsw_242756 3 49
M24Fcsw_243839 3 49
M24Fcsw_251990 3 49
M24Fcsw_257448 3 49
M24Fcsw_259232 3 49
M24Fcsw_262204 3 49
M24Fcsw_262439 3 49
M24Fcsw_273649 3 49
M41Fcsw_126735 3 49
M41Fcsw_174321 3 49
M41Fcsw_180825 3 49
M41Fcsw_197245 3 49
M41Fcsw_204979 3 49
M41Fcsw_220253 3 49
M41Fcsw_231940 3 49
M41Fcsw_232980 3 49
M41Fcsw_237598 3 49
M41Fcsw_239460 3 49
M41Fcsw_241776 3 49
M41Fcsw_317127 3 49
M41Fcsw_325248 3 49
M41Fcsw_328558 3 49
M41Fcsw_349314 3 49
M41Fcsw_355611 3 49
M41Fcsw_356987 3 49
M41Fcsw_359254 3 49
M41Fcsw_369381 3 49
M42Fcsw_142550 3 49
M42Fcsw_160388 3 49
M42Fcsw_202583 3 49
M42Fcsw_214073 3 49
M42Fcsw_214253 3 49
M42Fcsw_215549 3 49
M42Fcsw_220862 3 49
M42Fcsw_222900 3 49
M42Fcsw_223269 3 49
M42Fcsw_224416 3 49
M42Fcsw_238101 3 49
M42Fcsw_239498 3 49
M42Fcsw_328387 3 49
M42Fcsw_372534 3 49
M42Fcsw_374264 3 49
M42Fcsw_374455 3 49
M43Fcsw_42050 3 49
M43Fcsw_50847 3 49
M43Fcsw_51440 3 49
M43Fcsw_78545 3 49
M43Fcsw_93022 3 49
M43Fcsw_96471 3 49
M43Fcsw_105580 3 49
M43Fcsw_112815 3 49
M43Fcsw_118536 3 49
M43Fcsw_121214 3 49
M43Fcsw_122164 3 49
M43Fcsw_123140 3 49
M43Fcsw_124370 3 49
M43Fcsw_138226 3 49
M43Fcsw_166128 3 49
M43Fcsw_194295 3 49
M43Fcsw_206714 3 49
M43Fcsw_211018 3 49
M43Fcsw_231398 3 49
M43Fcsw_237733 3 49
M43Fcsw_237945 3 49
M43Fcsw_239099 3 49
M43Fcsw_239990 3 49
M43Fcsw_258966 3 49
M43Fcsw_258981 3 49
M43Fcsw_264541 3 49
M43Fcsw_265347 3 49
M43Fcsw_272743 3 49
M44Fcsw_15222 3 49
M44Fcsw_24638 3 49
M44Fcsw_27636 3 49
M44Fcsw_53446 3 49
M44Fcsw_65108 3 49
M44Fcsw_87561 3 49
M44Fcsw_98649 3 49
M44Fcsw_118674 3 49
M44Fcsw_125827 3 49
M44Fcsw_159014 3 49
M44Fcsw_215714 3 49
M44Fcsw_224681 3 49
M44Fcsw_226587 3 49
M44Fcsw_227479 3 49
M44Fcsw_234985 3 49
M44Fcsw_244080 3 49
M44Fcsw_245893 3 49
M44Fcsw_246400 3 49
M44Fcsw_254119 3 49
M44Fcsw_263695 3 49
M44Fcsw_266043 3 49
M44Fcsw_270050 3 49
M44Fcsw_272686 3 49
F13Fcsw_245451 3 50
F22Fcsw_88075 3 50
F31Fcsw_336221 3 50
F32Fcsw_349020 3 50
M13Fcsw_263784 3 50
M21Fcsw_375649 3 50
M24Fcsw_273750 3 50
F12Fcsw_103495 3 51
F12Fcsw_506536 3 51
F13Fcsw_117029 3 51
F13Fcsw_120117 3 51
F14Fcsw_266718 3 51
F32Fcsw_341869 3 51
F32Fcsw_366637 3 51
M23Fcsw_110763 3 51
M23Fcsw_254330 3 51
M24Fcsw_124981 3 51
M24Fcsw_126687 3 51
M41Fcsw_199988 3 51
M42Fcsw_355270 3 51
M43Fcsw_110018 3 51
M43Fcsw_220676 3 51
M44Fcsw_265287 3 51
F11Fcsw_104894 3 52
F11Fcsw_502609 3 52
F13Fcsw_99473 3 52
F13Fcsw_265102 3 52
F22Fcsw_124065 3 52
F24Fcsw_101154 3 52
F31Fcsw_241904 3 52
F34Fcsw_164366 3 52
M12Fcsw_490158 3 52
M22Fcsw_284924 3 52
M23Fcsw_140811 3 52
M23Fcsw_265619 3 52
M24Fcsw_170813 3 52
M41Fcsw_233573 3 52
M42Fcsw_215382 3 52
M42Fcsw_331312 3 52
M42Fcsw_374497 3 52
M44Fcsw_230006 3 52
F11Fcsw_122717 3 53
F12Fcsw_119229 3 53
F14Fcsw_86702 3 53
F14Fcsw_253319 3 53
F22Fcsw_92095 3 53
F24Fcsw_231693 3 53
F31Fcsw_303310 3 53
F32Fcsw_161105 3 53
F33Fcsw_42039 3 53
F34Fcsw_160513 3 53
F34Fcsw_212091 3 53
F34Fcsw_262759 3 53
M14Fcsw_174044 3 53
M14Fcsw_206801 3 53
M14Fcsw_231025 3 53
M21Fcsw_299271 3 53
M21Fcsw_361714 3 53
M22Fcsw_253821 3 53
M23Fcsw_71244 3 53
M23Fcsw_106802 3 53
M23Fcsw_124603 3 53
M23Fcsw_146661 3 53
M24Fcsw_199 3 53
M24Fcsw_86800 3 53
M24Fcsw_206152 3 53
M41Fcsw_132718 3 53
M41Fcsw_239451 3 53
M41Fcsw_273010 3 53
M41Fcsw_293326 3 53
M41Fcsw_311745 3 53
F11Fcsw_79479 3 54
F12Fcsw_119069 3 54
F13Fcsw_1241 3 54
F21Fcsw_119889 3 54
F31Fcsw_177482 3 54
F32Fcsw_255804 3 54
F34Fcsw_86613 3 54
F34Fcsw_224979 3 54
M11Fcsw_496220 3 54
M12Fcsw_25847 3 54
M14Fcsw_196675 3 54
M21Fcsw_150540 3 54
M21Fcsw_294555 3 54
M23Fcsw_50011 3 54
M23Fcsw_72983 3 54
M41Fcsw_131673 3 54
M41Fcsw_133569 3 54
M41Fcsw_159066 3 54
M41Fcsw_169876 3 54
M41Fcsw_373284 3 54
M42Fcsw_188546 3 54
M42Fcsw_190901 3 54
M42Fcsw_193651 3 54
M42Fcsw_325666 3 54
M42Fcsw_369805 3 54
M42Fcsw_370197 3 54
M44Fcsw_128069 3 54
F11Fcsw_506956 3 55
F13Fcsw_271615 3 55
F21Fcsw_111177 3 55
F34Fcsw_250430 3 55
M13Fcsw_263673 3 55
M14Fcsw_245241 3 55
M21Fcsw_219883 3 55
M23Fcsw_127363 3 55
M23Fcsw_256503 3 55
M41Fcsw_344890 3 55
M44Fcsw_121495 3 55
F11Fcsw_448858 3 56
F11Fcsw_490206 3 56
F12Fcsw_503531 3 56
F14Fcsw_250667 3 56
F14Fcsw_255896 3 56
F21Fcsw_496839 3 56
F21Fcsw_504563 3 56
F22Fcsw_434389 3 56
F31Fcsw_264506 3 56
F33Fcsw_260809 3 56
F34Fcsw_260147 3 56
M11Fcsw_91898 3 56
M11Fcsw_508300 3 56
M13Fcsw_164256 3 56
M13Fcsw_242628 3 56
M13Fcsw_246625 3 56
M22Fcsw_161594 3 56
M23Fcsw_160421 3 56
M23Fcsw_213961 3 56
M24Fcsw_160206 3 56
M43Fcsw_213779 3 56
F11Fcsw_87573 3 57
F11Fcsw_118167 3 57
F11Fcsw_394503 3 57
F12Fcsw_479984 3 57
F14Fcsw_97577 3 57
F14Fcsw_147829 3 57
M21Fcsw_187041 3 57
M21Fcsw_263089 3 57
M22Fcsw_159970 3 57
M22Fcsw_227950 3 57
M22Fcsw_352311 3 57
M23Fcsw_124585 3 57
M24Fcsw_123812 3 57
M43Fcsw_232640 3 57
F11Fcsw_122830 3 58
F11Fcsw_454258 3 58
F12Fcsw_24094 3 58
F14Fcsw_124597 3 58
F32Fcsw_251727 3 58
M12Fcsw_120218 3 58
M12Fcsw_125297 3 58
M12Fcsw_496316 3 58
M13Fcsw_79796 3 58
M13Fcsw_262417 3 58
M21Fcsw_374398 3 58
M22Fcsw_243261 3 58
M22Fcsw_249307 3 58
M23Fcsw_264728 3 58
M24Fcsw_125860 3 58
M41Fcsw_372273 3 58
M43Fcsw_193982 3 58
M44Fcsw_244019 3 58
M44Fcsw_267911 3 58
F13Fcsw_129811 3 59
F13Fcsw_231262 3 59
F13Fcsw_247905 3 59
F13Fcsw_268020 3 59
F22Fcsw_92719 3 59
F22Fcsw_113109 3 59
F31Fcsw_234186 3 59
F32Fcsw_260025 3 59
M12Fcsw_88586 3 59
M13Fcsw_127769 3 59
M13Fcsw_170748 3 59
M14Fcsw_103505 3 59
M22Fcsw_352299 3 59
M23Fcsw_123018 3 59
M23Fcsw_200169 3 59
M23Fcsw_255856 3 59
M23Fcsw_260079 3 59
M41Fcsw_367442 3 59
M42Fcsw_374275 3 59
M43Fcsw_183515 3 59
M43Fcsw_264167 3 59
M44Fcsw_242836 3 59
F11Fcsw_103611 3 60
F11Fcsw_115938 3 60
F11Fcsw_504010 3 60
F12Fcsw_47136 3 60
F12Fcsw_447497 3 60
F12Fcsw_494833 3 60
F14Fcsw_91531 3 60
F14Fcsw_94879 3 60
F14Fcsw_273185 3 60
F22Fcsw_54987 3 60
F31Fcsw_372121 3 60
F32Fcsw_145199 3 60
F32Fcsw_312899 3 60
F34Fcsw_12189 3 60
M14Fcsw_122553 3 60
M21Fcsw_289459 3 60
M21Fcsw_335594 3 60
M22Fcsw_182884 3 60
M22Fcsw_201500 3 60
M22Fcsw_373665 3 60
M24Fcsw_137255 3 60
M41Fcsw_153149 3 60
M41Fcsw_263560 3 60
M41Fcsw_299221 3 60
M42Fcsw_257997 3 60
M42Fcsw_268552 3 60
M42Fcsw_372338 3 60
M44Fcsw_210923 3 60
F11Fcsw_77113 3 61
F11Fcsw_470121 3 61
F11Fcsw_477229 3 61
F12Fcsw_43009 3 61
F12Fcsw_102446 3 61
F13Fcsw_36564 3 61
F13Fcsw_156540 3 61
F21Fcsw_498421 3 61
F32Fcsw_308590 3 61
F32Fcsw_315486 3 61
F34Fcsw_121197 3 61
M12Fcsw_438240 3 61
M13Fcsw_245923 3 61
M14Fcsw_240903 3 61
M21Fcsw_358690 3 61
M22Fcsw_149781 3 61
M22Fcsw_370118 3 61
M41Fcsw_233994 3 61
M41Fcsw_281425 3 61
M41Fcsw_283988 3 61
F14Fcsw_225666 3 62
F24Fcsw_257557 3 62
F32Fcsw_154416 3 62
M11Fcsw_115087 3 62
M12Fcsw_391481 3 62
M21Fcsw_165107 3 62
F12Fcsw_484906 3 63
F23Fcsw_64141 3 63
F31Fcsw_266645 3 63
M12Fcsw_66119 3 63
M22Fcsw_254642 3 63
M42Fcsw_372539 3 63
M43Fcsw_102369 3 63
M44Fcsw_187460 3 63
F14Fcsw_274206 3 64
F22Fcsw_468799 3 64
F33Fcsw_273063 3 64
M12Fcsw_507352 3 64
M14Fcsw_229617 3 64
M14Fcsw_267066 3 64
M21Fcsw_222785 3 64
M24Fcsw_273494 3 64
M41Fcsw_179584 3 64
F24Fcsw_50606 3 65
F24Fcsw_125526 3 65
F33Fcsw_124890 3 65
M23Fcsw_149820 3 65
M42Fcsw_367705 3 65
F11Fcsw_508842 3 66
F14Fcsw_124401 3 66
F22Fcsw_417692 3 66
F34Fcsw_226287 3 66
M11Fcsw_111567 3 66
M24Fcsw_212101 3 66
M41Fcsw_274316 3 66
F13Fcsw_268206 3 67
F21Fcsw_123840 3 67
